,Target Job Title,Matched Job Title,Similarity Score
3663,Senior Brand Manager,Marketing Managers,0.659049
3664,Master of Public Policy,Chief Sustainability Officers,0.5114444
3665,Chief Digital Officer,Command and Control Center Officers,0.6239353
3666,Curriculum Consultant,Instructional Coordinators,0.63361025
3667,Data Science High Meadows Fellow,Data Scientists,0.6008605
3668,Policy and Intergovernmental Affairs Analyst,Regulatory Affairs Specialists,0.58062553
3669,Assistant Managing Editor,Editors,0.7195169
3670,Senior Global Behavioral Science Research Lead,Social Science Research Assistants,0.40844452
3671,Combatting Human Trafficking Program Coordinator,Probation Officers and Correctional Treatment Specialists,0.39259982
3672,Engineering Program Manager,Architectural and Engineering Managers,0.6434398
3673,Lead Instructional Specialist,Instructional Coordinators,0.6203279
3674,Doctor Student,Health Education Specialists,0.62178135
3675,Public Relations Associate,Public Relations Specialists,0.8401356
3676,Public Policy Manager,Public Relations Managers,0.6827534
3677,Financial Services,Financial Managers,0.72464716
3678,Music Theory Teacher,Music Therapists,0.67566586
3679,Assistant Dean for Studies,"Education Administrators, Postsecondary",0.5737394
3680,Associate Bridge Engineer,Mechanical Engineers,0.6497086
3681,Senior Corporate Paralegal,Paralegals and Legal Assistants,0.68960565
3682,Research Intern,Clinical Research Coordinators,0.49714318
3683,Assistant Instructor,"Teaching Assistants, All Other",0.74666727
3684,Pararescue Trainee,Paramedics,0.69940865
3685,Climate Reporter,Climate Change Policy Analysts,0.571796
3686,Staff Attorney,Emergency Management Directors,0.6001456
3687,Postdoctoral Scholar,Archivists,0.55840456
3688,Education Professional,"Education Administrators, All Other",0.73712337
3689,Patent Technical Advisor,Technical Writers,0.49456066
3690,Climate Zeitgeist Reporter,Climate Change Policy Analysts,0.5497996
3691,Merchandise Program Strategist,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.5212687
3692,Clinical Communications Writer,Technical Writers,0.5201325
3693,Geological Engineer,"Geological Technicians, Except Hydrologic Technicians",0.7807345
3694,Mentor,Tutors,0.55167973
3695,Creative Associate,Art Directors,0.56436926
3696,Senior Platform Strategy Producer,Industrial Production Managers,0.48102918
3697,Managing Director,Emergency Management Directors,0.56483996
3698,Client Advisor,Residential Advisors,0.603527
3699,Marketing Media Manager,Marketing Managers,0.7463672
3700,Senior Applied Scientist,Physicists,0.5865812
3701,News Writer,"News Analysts, Reporters, and Journalists",0.6721784
3702,Wildlife Crimes Analyst,Zoologists and Wildlife Biologists,0.6473466
3703,Graduate Student Assistant,"Teaching Assistants, Postsecondary",0.6569363
3704,Applied Physicist,Physicists,0.78393435
3705,Director-PA,Art Directors,0.5371927
3706,College Scout,Coaches and Scouts,0.64976144
3707,Perception Engineer,Robotics Engineers,0.61610997
3708,Clinical Data Principal,Clinical Data Managers,0.5950685
3709,Architectural Designer,Architectural and Engineering Managers,0.7580592
3710,Technical Services Analyst,Operations Research Analysts,0.6759969
3711,Growth & Development Director,Training and Development Specialists,0.6557065
3712,Fuel Oil Trader,Petroleum Engineers,0.62365437
3713,Senior Transportation Planner,Transportation Planners,0.751801
3714,Software Quality Assurance Engineer,Software Quality Assurance Analysts and Testers,0.8444885
3715,Assistant Campaign Manager,Fundraising Managers,0.5077716
3716,Project Development Senior Associate,Project Management Specialists,0.6839759
3717,Endobariatric Physician,General Internal Medicine Physicians,0.53318596
3718,Metrology Engineer II,Manufacturing Engineers,0.55891836
3719,Assistant Clinical Research Coordinator,Clinical Research Coordinators,0.8930625
3720,Equity Research Associate,Financial and Investment Analysts,0.5152915
3721,PGY 2 Resident,Probation Officers and Correctional Treatment Specialists,0.33120757
3722,Customer Experience Lead,Customer Service Representatives,0.5730995
3723,Senior Officer,Special Forces Officers,0.71088946
3724,Writers Assistant,Technical Writers,0.64325583
3725,Financial Markets & Real Estate Experienced Associate,Real Estate Brokers,0.6877409
3726,Real Estate Investor,Real Estate Brokers,0.7079575
3727,Host,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.48543838
3728,Adjunct Fellow,Labor Relations Specialists,0.5316776
3729,Assistant Superintendent,Instructional Coordinators,0.6251821
3730,Senior Biostatistician II,Biostatisticians,0.7334688
3731,Shelter Case Manager,Bailiffs,0.48241645
3732,Clinical Trials Data Coordinator,Clinical Research Coordinators,0.73806477
3733,Orthopaedic Surgeon,"Orthopedic Surgeons, Except Pediatric",0.77876365
3734,LSRP Researcher,Training and Development Specialists,0.3924543
3735,Associate Board Member,Air Crew Members,0.426969
3736,Director Marketing,Marketing Managers,0.71501744
3737,ML engineer,Manufacturing Engineers,0.7021798
3738,NSF Postdoctoral Fellow,Special Forces Officers,0.44496545
3739,Senior Content Editor,Editors,0.6665576
3740,Finance Chair,Financial Managers,0.62440014
3741,Project Developer,Software Developers,0.79741675
3742,R&D Scientist III,"Physical Scientists, All Other",0.60276854
3743,Markets and Investing Reporter,Financial and Investment Analysts,0.6437384
3744,Acting Instructor,Actors,0.6310061
3745,Upstream Delivery Lead,Freight Forwarders,0.5103888
3746,Senior External Affairs Officer,Compliance Officers,0.596073
3747,Senior Account Planner,Residential Advisors,0.52680796
3748,General Attorney,Lawyers,0.6353342
3749,Freelance Translator,Interpreters and Translators,0.62708664
3750,Intern,Electricians,0.5263876
3751,Postdoctoral Clinical Fellow,Clinical Research Coordinators,0.5502868
3752,Senior Portfolio Associate,"Financial Specialists, All Other",0.51080996
3753,Family Nurse Practitioner,Nurse Practitioners,0.7695166
3754,Legal Analyst,Lawyers,0.7341044
3755,Mathematics & Computer Science Instructor,"Computer Science Teachers, Postsecondary",0.7429991
3756,Applied Scientist,Physicists,0.67007464
3757,ASEP Program,Computer Programmers,0.40651512
3758,Performance Live Strategy & Operations Manager,General and Operations Managers,0.58506876
3759,Strategic Operations Associate,"Business Operations Specialists, All Other",0.71967757
3760,Music Theorist,Music Therapists,0.6601261
3761,Senior Principal,"Education Administrators, All Other",0.5727364
3762,Technology Investor,Financial and Investment Analysts,0.55723274
3763,GPS Analyst,Computer Systems Analysts,0.5383899
3764,Senior Resident,Residential Advisors,0.41622022
3765,Marketing,Marketing Managers,0.74512476
3766,Digital Content Writer,Technical Writers,0.5591476
3767,Hand and Upper Extremity Fellow,"Sewers, Hand",0.4437073
3768,Therapist,"Therapists, All Other",0.9030669
3769,Film Development Executive Assistant,Executive Secretaries and Executive Administrative Assistants,0.56366044
3770,Senior Planetary Science Producer and Animator,Special Effects Artists and Animators,0.5731352
3771,Personal Assistant,Medical Assistants,0.6760476
3772,Metrology Engineer III,Manufacturing Engineers,0.56886935
3773,Youtube Product Partnerships Manager,Media Technical Directors/Managers,0.35437524
3774,Director of Recruiting,Talent Directors,0.55233085
3775,Member Of Technical Staff III,"Maintenance and Repair Workers, General",0.5283986
3776,Research Officer,Clinical Research Coordinators,0.6262275
3777,Director of Impact,Producers and Directors,0.45937532
3778,Second Lieutenant,Infantry Officers,0.5621204
3779,Project Development Manager,Project Management Specialists,0.8273542
3780,Environmental Program Manager,Environmental Engineers,0.6636887
3781,Quantitative Analyst,Financial Quantitative Analysts,0.81566966
3782,Full Stack Software Engineer,Software Developers,0.6311368
3783,Japanese Interpreter,Interpreters and Translators,0.6824864
3784,Head of Investments,Investment Fund Managers,0.69742143
3785,Research Trainee,Clinical Research Coordinators,0.61479497
3786,Athletic Director,Athletic Trainers,0.63056296
3787,Impact Manager,Compliance Managers,0.5010865
3788,Account Manager Associate,New Accounts Clerks,0.5593952
3789,Operations Strategy Associate,General and Operations Managers,0.70190054
3790,Endocrine Surgeon,"Surgeons, All Other",0.67873156
3791,NNSA Graduate Fellow,Neurologists,0.42543542
3792,Tenant Construction Manager,Construction Managers,0.7667425
3793,Digital Account Associate,New Accounts Clerks,0.5515002
3794,Global Employee Experience Manager,Human Resources Managers,0.5682631
3795,MD/PhD Candidate,Clinical Nurse Specialists,0.49085647
3796,Senior Electrical Engineer,Electrical Engineers,0.81701267
3797,Attorney-Adviser,Lawyers,0.6654617
3798,Deputy Campaign Manager,Marketing Managers,0.48062187
3799,Enforcement Solutions Engineer,Compliance Officers,0.6260044
3800,Speech Language Pathologist,Speech-Language Pathologists,0.9349945
3801,Music Quality Assurance Lead,Quality Control Analysts,0.5092807
3802,Colon and Rectal Surgery Fellow,"Surgeons, All Other",0.5342579
3803,Floating Assistant,Nursing Assistants,0.4235388
3804,Data Science Fellow,Data Scientists,0.8469703
3805,Data and Community Partnerships Specialist,Data Scientists,0.5648812
3806,Administrative Assistant,Administrative Services Managers,0.7523205
3807,Head of Engineering,Industrial Engineers,0.7333043
3808,Supply Chain Deployment Manager,Supply Chain Managers,0.6783087
3809,Advanced Optics Engineer,Photonics Engineers,0.6598741
3810,Business Technology Analyst,Business Intelligence Analysts,0.72118825
3811,Brewer,Bartenders,0.48374116
3812,Social Strategy Coordinator,Social and Community Service Managers,0.61999726
3813,Software Engineer Technical Lead,Software Developers,0.59909046
3814,Analytics & Operations Team Lead,Operations Research Analysts,0.5178151
3815,Economic Researcher,Economists,0.6970022
3816,Independent Contractor,Farm Labor Contractors,0.5750991
3817,Brand Experience & Innovation Manager,Marketing Managers,0.6117289
3818,Named Postdoctoral Fellow,Postal Service Clerks,0.5253995
3819,Occupational Therapist,Occupational Therapists,0.9607165
3820,Student Professional Worker,Labor Relations Specialists,0.5926815
3821,Customer Experience Associate,Customer Service Representatives,0.6324457
3822,Litigation Associate,Lawyers,0.61464846
3823,Global Head,Wellhead Pumpers,0.38867044
3824,Assistant Curator,Curators,0.82941324
3825,Student Doctor,Health Education Specialists,0.6131545
3826,PGY-II Resident,Probation Officers and Correctional Treatment Specialists,0.35953808
3827,Postdoctoral Fellow,Postal Service Clerks,0.5701593
3828,Rower,Athletic Trainers,0.496616
3829,Network Health Manager,Medical and Health Services Managers,0.5805329
3830,Illustrator,Graphic Designers,0.50031483
3831,Marketing Writer,Marketing Managers,0.69075
3832,Chief Commercial Officer,Chief Sustainability Officers,0.68786526
3833,Head of Autonomy Flight Core,Aircraft Launch and Recovery Specialists,0.5200053
3834,Senior Capital Markets Professional,"Financial Specialists, All Other",0.54933953
3835,Chief Creative Officer,Chief Executives,0.65465117
3836,ELITE EDUCATOR,"Education Administrators, All Other",0.6292809
3837,Program Support Coordinator,Instructional Coordinators,0.62043345
3838,Staff Writer,Writers and Authors,0.71088016
3839,Soloist,Musicians and Singers,0.52618897
3840,Faculty of Law,"Law Teachers, Postsecondary",0.7115668
3841,Political Manager,"Managers, All Other",0.6338992
3842,Data Platform Engineer,Data Scientists,0.64099026
3843,Soccer Player,Athletes and Sports Competitors,0.42971334
3844,Speech Therapy Practice Associate,Speech-Language Pathology Assistants,0.6170384
3845,Project Manager,Project Management Specialists,0.87991464
3846,Senior Investment Fellow,Investment Fund Managers,0.55630445
3847,Student,Tutors,0.5293355
3848,Senior Partner Development Manager,Training and Development Managers,0.6191635
3849,Associate Research Scholar,Social Science Research Assistants,0.5102616
3850,Chief Data Officer,Chief Sustainability Officers,0.6373755
3851,Assistant Teacher,"Teaching Assistants, All Other",0.81423044
3852,Graduate Writing Tutor,Tutors,0.71796626
3853,Macro Strategist,Search Marketing Strategists,0.3907879
3854,Lead Product Analyst,Management Analysts,0.5468454
3855,Associate Behavioral Designer,Commercial and Industrial Designers,0.47374487
3856,Senior Associate Equity Research Analyst,Financial and Investment Analysts,0.61510885
3857,Junior Cataloguer,Retail Salespersons,0.5043173
3858,Special Project Manager,Project Management Specialists,0.8551865
3859,IMS Fellow,Riggers,0.28416097
3860,Master of Science candidate,Natural Sciences Managers,0.560495
3861,Austin Site Lead,"Ushers, Lobby Attendants, and Ticket Takers",0.3394684
3862,Global Investment Research Associate,Investment Fund Managers,0.57164943
3863,Senior Digital Account Executive,New Accounts Clerks,0.52818215
3864,Growth Equities Investment Analyst,Financial and Investment Analysts,0.709069
3865,Mendenhall Postdoctoral Research Fellow,Human Resources Specialists,0.36883277
3866,Recruiting Consultant,Training and Development Specialists,0.5279697
3867,Senior Managerial Consultant,Management Analysts,0.64370584
3868,Senior Student Associate,"Education Administrators, Postsecondary",0.5199929
3869,Compliance Specialist,Compliance Officers,0.8348774
3870,Associate Curator,Curators,0.8504255
3871,Director of Community,Media Programming Directors,0.4720564
3872,Volunteer,Personal Care Aides,0.47541064
3873,Goals-Based Planning Analyst,Project Management Specialists,0.52147764
3874,Project Engineer II,Project Management Specialists,0.68205
3875,Scheduler,Team Assemblers,0.4292335
3876,Innovative Mobility Project Coordinator,Project Management Specialists,0.48823994
3877,Emergency Medicine Resident,Emergency Medicine Physicians,0.82264686
3878,Senior Business Consultant,"Business Operations Specialists, All Other",0.6155968
3879,Digital Specialist,Telecommunications Engineering Specialists,0.6037638
3880,Student Director,Project Management Specialists,0.5277192
3881,Legislative Assistant,Legislators,0.6434667
3882,Senior Engineering Manager,Industrial Engineers,0.6600123
3883,Oculoplastic Surgeon,"Surgeons, All Other",0.65756464
3884,Workday Solution Architect,Architectural and Engineering Managers,0.47089946
3885,Public Health Associate,Health Education Specialists,0.63727987
3886,Business Analysis Manager,Management Analysts,0.7238219
3887,Production,Industrial Production Managers,0.6821929
3888,Product Strategy Associate,Operations Research Analysts,0.49534613
3889,Data Science Manager,Data Scientists,0.78014547
3890,Advanced Computer Scientist,Computer and Information Research Scientists,0.7636166
3891,Animator,Special Effects Artists and Animators,0.7051938
3892,Orbital Science Operations Specialist,Aerospace Engineering and Operations Technologists and Technicians,0.590589
3893,Executive Assistant To CEO,Executive Secretaries and Executive Administrative Assistants,0.66426
3894,Co-CEO,Chief Executives,0.73218787
3895,Survey Researcher,Survey Researchers,0.8336961
3896,Editorial Production Engineer,Manufacturing Engineers,0.69404966
3897,Hospitalist,Hospitalists,0.9088097
3898,Asia Pacific Deputy Editor,Editors,0.5891204
3899,Resident PGY-4,Probation Officers and Correctional Treatment Specialists,0.38117316
3900,Product Development Financial Analyst,Financial and Investment Analysts,0.66798985
3901,Research Compliance Officer,Compliance Officers,0.8173547
3902,Environmental Scientist,"Environmental Scientists and Specialists, Including Health",0.78277826
3903,Graduate Co-Director,Art Directors,0.54919636
3904,Actuarial Manager,Actuaries,0.5143894
3905,Ph.D Student,"Chemistry Teachers, Postsecondary",0.51355743
3906,Front End Engineer,Manufacturing Engineers,0.68569714
3907,Machine Learning Consultant,Data Scientists,0.55616784
3908,Adviser,Residential Advisors,0.61597073
3909,Human Resources Associate,Human Resources Specialists,0.84518915
3910,Quantitative Research Analyst,Financial Quantitative Analysts,0.7968241
3911,Assistant Agent,Surgical Assistants,0.6365588
3912,Multi Discipline Engineer,Industrial Engineers,0.5799198
3913,Senior Systems Specialist,Administrative Services Managers,0.6379781
3914,Quantitative Technologist,Calibration Technologists and Technicians,0.6268639
3915,Risk Analyst,Financial Risk Specialists,0.7522272
3916,Lawyer,Lawyers,0.945645
3917,Urology Resident,Urologists,0.7108557
3918,Admissions Advisor,Residential Advisors,0.5402358
3919,Strategy,Marketing Managers,0.3533523
3920,ACT/SAT Tutor,Tutors,0.6719713
3921,Assistant Associate Producer,Producers and Directors,0.64397633
3922,Senior Analyst Revenue Management,Management Analysts,0.65981936
3923,Research And Administrative Assistant,Social Science Research Assistants,0.6674005
3924,Senior Investment Associate,Investment Fund Managers,0.53968084
3925,?Project Engineer III,Industrial Engineers,0.66156167
3926,Landscape and Graphic Designer,Landscape Architects,0.7927182
3927,Orthopedic Surgeon,"Orthopedic Surgeons, Except Pediatric",0.8482927
3928,Professional Tutor,Tutors,0.8802792
3929,Trust & Safety Specialist,Occupational Health and Safety Specialists,0.64371055
3930,Adjunct Instructor,"Teachers and Instructors, All Other",0.7024983
3931,Head of Data Science,Data Scientists,0.8562547
3932,Data Quality Analyst,Quality Control Analysts,0.73756564
3933,Scout,Coaches and Scouts,0.629016
3934,Trader,Online Merchants,0.5876921
3935,Senior Associate Software Engineer,Software Developers,0.61166894
3936,Analyst III,Management Analysts,0.6253104
3937,Biological Field Technician,Biological Technicians,0.9168935
3938,Software Research Engineer,Software Developers,0.7658932
3939,Associate Staff Attorney,Legal Secretaries and Administrative Assistants,0.5993573
3940,Sector Head,Wellhead Pumpers,0.4265753
3941,Senior Intelligence Analyst,Intelligence Analysts,0.8260671
3942,Assistant Research Biostatistician,Biostatisticians,0.7215344
3943,Critic,Historians,0.3881807
3944,Driver,Taxi Drivers,0.55694735
3945,Consulting Manager,Marketing Managers,0.6136753
3946,Technology Manager,Computer and Information Systems Managers,0.7139447
3947,High School Math Teacher,"Mathematical Science Teachers, Postsecondary",0.7520373
3948,Support Teacher,"Teachers and Instructors, All Other",0.545484
3949,Surface Warfare Officer,"Military Officer Special and Tactical Operations Leaders, All Other",0.60818505
3950,Sales Operations Consultant,Sales Engineers,0.75175667
3951,Content Marketing Manager,Marketing Managers,0.78609765
3952,Warfighting Instructor,"Teachers and Instructors, All Other",0.5268133
3953,Civil Design Engineer,Civil Engineers,0.89096856
3954,Graduate Student Research Assistant,Social Science Research Assistants,0.6597692
3955,Development Quality Specialist,Training and Development Specialists,0.7304692
3956,Research Director,Clinical Research Coordinators,0.6052172
3957,Learning And Development Specialist,Training and Development Specialists,0.8811575
3958,Co-President,Chief Executives,0.5029121
3959,Sales Assistant,Retail Salespersons,0.72301567
3960,Product Scientist,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.60608673
3961,Supervising Senior Consultant,Human Resources Specialists,0.53833044
3962,Contributing Writer,Writers and Authors,0.73351276
3963,Content Writer,Technical Writers,0.58762056
3964,Junior Account Executive,Chief Executives,0.5641515
3965,Articles and Comments Editor,Editors,0.5839051
3966,Senior Data Science Product Manager,Data Scientists,0.6189056
3967,Deputy Budget Manager,Budget Analysts,0.5248033
3968,Assistant Innovation Manager,"Teaching Assistants, All Other",0.55717325
3969,Resident Fellow,Electricians,0.41826713
3970,Bioinformatics Scientist,Bioinformatics Scientists,0.9754598
3971,Asia ex-Japan Long/Short Equities Executive,Chief Executives,0.40254432
3972,Assistant Vice President,Executive Secretaries and Executive Administrative Assistants,0.5527557
3973,L.L.M. Teaching Assistant,"Teaching Assistants, All Other",0.71858335
3974,Recruiting Leader,"Military Officer Special and Tactical Operations Leaders, All Other",0.51834786
3975,Grain Lead,"Graders and Sorters, Agricultural Products",0.3567291
3976,visiting faculty member,Archivists,0.40924
3977,Features Writer,Technical Writers,0.5406971
3978,Business Development Analyst,Business Intelligence Analysts,0.70448005
3979,Defensive Line Coach,Coaches and Scouts,0.47599626
3980,Branch Head,Wellhead Pumpers,0.38916582
3981,9th Grade GLT Chair,Glaziers,0.40647918
3982,Company Executive Officer,Chief Executives,0.7329655
3983,Cryptographic engineer,Information Security Engineers,0.6762727
3984,Senior Marketing Specialist,Marketing Managers,0.7147645
3985,PGY2 Resident,Probation Officers and Correctional Treatment Specialists,0.32025307
3986,Deputy Director of Analytics,Chief Sustainability Officers,0.45799598
3987,Autopilot Technician,Traffic Technicians,0.6202034
3988,Front Desk Receptionist,Receptionists and Information Clerks,0.6701783
3989,Associate in Research,Clinical Research Coordinators,0.5584701
3990,Staff Technologist,Surgical Technologists,0.7242955
3991,Senior Product Designer,Commercial and Industrial Designers,0.62393385
3992,International Student Career Coordinator,"Educational, Guidance, and Career Counselors and Advisors",0.5474088
3993,Global Strategist,Search Marketing Strategists,0.51224035
3994,Computational Scientist,Computer and Information Research Scientists,0.68214256
3995,Strategy Officer,Command and Control Center Officers,0.60805047
3996,"Senior Guidance, Navigation and Control Engineer",Command and Control Center Specialists,0.52693945
3997,Global Expansion Director,Art Directors,0.3080095
3998,Senior Managing Consultant,Management Analysts,0.5771753
3999,Oncology fellow,Radiation Therapists,0.49658152
4000,Generative Performing Artist,Craft Artists,0.6763836
4001,Ph.D. Student,"Chemistry Teachers, Postsecondary",0.5344775
4002,Appellate Court Attorney,Lawyers,0.6546401
4003,E-commerce Director,Online Merchants,0.5083841
4004,Regional Advisor,Residential Advisors,0.612999
4005,High School Teacher,"Elementary School Teachers, Except Special Education",0.65714693
4006,Performance Nutrition Dietitian,Dietitians and Nutritionists,0.77593595
4007,Junior Trader,Cashiers,0.5140867
4008,Hospice Medical Director,Funeral Home Managers,0.56807554
4009,R&D Engineer,Manufacturing Engineers,0.69145846
4010,Senior Vehicle Development Engineer,Automotive Engineers,0.72716343
4011,NSF Graduate Fellow,Neurologists,0.4055493
4012,Editorial Staff,Editors,0.6463212
4013,Senior Analyst,Management Analysts,0.72625375
4014,Principal Electrical Engineer,Electrical Engineers,0.82501465
4015,Traffic Associate,Traffic Technicians,0.77066195
4016,Graduate Support Counselor,"Counselors, All Other",0.6659531
4017,Scaled Sales Manager,Sales Managers,0.63397145
4018,Senior Project Management Associate,Project Management Specialists,0.77933586
4019,Investment Banking Associate,Financial and Investment Analysts,0.5758989
4020,Science and Mathematics Instructor,"Mathematical Science Teachers, Postsecondary",0.8057413
4021,Staff Software Engineer,Software Developers,0.7181944
4022,Brand Director,Producers and Directors,0.62372154
4023,People Manager,Human Resources Managers,0.6602316
4024,Projects Manager,Project Management Specialists,0.8617815
4025,Wireless Software Engineer,Telecommunications Engineering Specialists,0.5878531
4026,Research Study Coordinator,Clinical Research Coordinators,0.82512033
4027,Consumer UX Researcher,Market Research Analysts and Marketing Specialists,0.5671528
4028,Endocrinologist,Cardiologists,0.5419177
4029,GTM Operations Manager,General and Operations Managers,0.62722695
4030,Associate Manager,Administrative Services Managers,0.708084
4031,Sustainability Lead,Sustainability Specialists,0.56468976
4032,Chief Linehaul Network Engineer,Telecommunications Engineering Specialists,0.5544221
4033,"Data Planning, Access & Sharing Lead",Data Warehousing Specialists,0.43519175
4034,Senior Ghostwriter,Writers and Authors,0.4876989
4035,Community and Youth Engagement Director,Social and Community Service Managers,0.45641214
4036,Pro Bono Counsel,Rehabilitation Counselors,0.5152502
4037,Senior Media Manager,Media Technical Directors/Managers,0.7198335
4038,Mobile Engineering Lead,"Mobile Heavy Equipment Mechanics, Except Engines",0.5169088
4039,Certified Energy Manager,Energy Auditors,0.67543185
4040,Risk Division Associate,Financial Risk Specialists,0.5521505
4041,Senior Project Engineer,Project Management Specialists,0.7329743
4042,Quantitative Research Scientist,Financial Quantitative Analysts,0.67590696
4043,Grantee,Riggers,0.35816228
4044,Special Event Manager,"Meeting, Convention, and Event Planners",0.5212716
4045,Operations Analyst II,Operations Research Analysts,0.7898657
4046,Research Analyst,Management Analysts,0.7607852
4047,Intelligence Officer,Intelligence Analysts,0.70931673
4048,Research and Development Engineer,Manufacturing Engineers,0.66739476
4049,Artistic Producer,Producers and Directors,0.7250877
4050,Product and Engineering Leader,Manufacturing Engineers,0.61436903
4051,Project Designer,Project Management Specialists,0.763435
4052,Biomedical Engineer,Bioengineers and Biomedical Engineers,0.80484724
4053,Senior Supply Planning Analyst,Logistics Analysts,0.66089153
4054,Developer Support Engineer,Software Developers,0.6965957
4055,Acting Assistant Professor,Actors,0.59951055
4056,Special Project Coordinator,Project Management Specialists,0.75988805
4057,Impact Metrics Analyst,Financial Quantitative Analysts,0.46836698
4058,Forward Deployed Software Engineer,Operating Engineers and Other Construction Equipment Operators,0.4605208
4059,Manufacturing Engineer III,Manufacturing Engineers,0.85341376
4060,Hardware Development Engineer,Computer Hardware Engineers,0.8776146
4061,Test Engineer I,"Engineers, All Other",0.6983604
4062,Policy Advisor,Residential Advisors,0.64338005
4063,Native English Teacher,"English Language and Literature Teachers, Postsecondary",0.65020776
4064,Higher Executive officer,Chief Executives,0.654093
4065,Senior Applied Data Scientist,Data Scientists,0.75059134
4066,Student Administrative Assistant,Administrative Services Managers,0.6539493
4067,Account Management Lead,Financial Managers,0.49121293
4068,Associate Disbursement Compliance Specialist,Compliance Officers,0.68575037
4069,Principal Software Engineering Manager,Architectural and Engineering Managers,0.6316169
4070,Business and Entrepreneurship Teacher,"Business Teachers, Postsecondary",0.69159853
4071,Middle School Teacher,"Middle School Teachers, Except Special and Career/Technical Education",0.727923
4072,Math & English Tutor,Tutors,0.7929729
4073,Student Technician,Library Technicians,0.71532905
4074,Strategy Analyst,Management Analysts,0.68154293
4075,Bid Manager,Sales Managers,0.57194495
4076,Equity Derivatives Analyst,Financial and Investment Analysts,0.64910537
4077,Veblen Research Instructor,"Teachers and Instructors, All Other",0.45577735
4078,Supervisory Economist,Economists,0.6695473
4079,Cellist,Biological Technicians,0.49471492
4080,Americas Supply Chain Supervisor,Supply Chain Managers,0.70137465
4081,Japan Country Director,Art Directors,0.488491
4082,Global Banking Policy Associate,Regulatory Affairs Specialists,0.47470665
4083,Freelance Editor,Editors,0.76288927
4084,Air Quality Analyst,Quality Control Analysts,0.60004497
4085,Service Manager,Administrative Services Managers,0.7470763
4086,Software Engineering Manager,Architectural and Engineering Managers,0.68829954
4087,Model,Models,0.92870826
4088,Project Manager II,Project Management Specialists,0.76785684
4089,Development Impact Associate,Training and Development Specialists,0.53720856
4090,Financial Solutions Developer,"Financial Specialists, All Other",0.68537384
4091,Fiction writer,Writers and Authors,0.7022675
4092,Image consultant,Photographers,0.62708044
4093,Compliance Manager,Compliance Managers,0.9668534
4094,Curriculum Developer,Instructional Coordinators,0.60395503
4095,Product Marketing Manager,Marketing Managers,0.85735655
4096,Chief Finance Officer,Financial Managers,0.7248973
4097,Language Tutor,Tutors,0.7889657
4098,Screenwriter,Producers and Directors,0.70278955
4099,Chair,Upholsterers,0.45042655
4100,Mission Success Lead,"Military Officer Special and Tactical Operations Leaders, All Other",0.3633772
4101,Freelance Tutor,Tutors,0.8103106
4102,Booking Researcher,Lodging Managers,0.5268281
4103,Chief of Staff to VP of Supply Chain,Supply Chain Managers,0.62554276
4104,Assistant Attorney General,"Office Clerks, General",0.6208916
4105,Curatorial Exhibitions Research Assistant,Curators,0.6662933
4106,Serials Management Associate,Administrative Services Managers,0.51710606
4107,AirPlay Audio Engineer,Sound Engineering Technicians,0.54753643
4108,Cyber Associate,Computer Network Support Specialists,0.55444914
4109,PhD Candidate,Political Scientists,0.39745063
4110,Paralympic Sled Hockey Athlete,Athletic Trainers,0.41711175
4111,Guard,Security Guards,0.7934852
4112,Talent Coordinator,Talent Directors,0.68337834
4113,Manager Research Analyst,Management Analysts,0.83951724
4114,Tech Lead,Technical Writers,0.5251832
4115,European Project Manager,Project Management Specialists,0.78124034
4116,Restructuring and Finance Legal Associate,Paralegals and Legal Assistants,0.5325073
4117,Senior Programme Officer,Special Forces Officers,0.64432764
4118,Enterprise Account Manager,Administrative Services Managers,0.55848455
4119,Head of Design,"Designers, All Other",0.6644532
4120,Principal Product Marketing Manager,Marketing Managers,0.75644994
4121,Postdoctoral Research Associate,Postal Service Clerks,0.5182255
4122,Junior Software Developer,Software Developers,0.76841915
4123,DSP Partnerships Director,Computer Network Support Specialists,0.3952073
4124,IRTA Research Fellow,Nuclear Medicine Technologists,0.41031164
4125,Principal Business Analyst,Management Analysts,0.68824756
4126,Energy Justice Liaison,Energy Auditors,0.5393037
4127,Lecturer in Law,"Law Teachers, Postsecondary",0.604479
4128,Trial Attorney,Lawyers,0.64802474
4129,Real Estate Broker,Real Estate Brokers,0.9613246
4130,Solutions Engineer,Manufacturing Engineers,0.7116761
4131,Merchandising Director,Art Directors,0.47080177
4132,Scientific Editor,Editors,0.7570689
4133,Software Engineer III,Software Developers,0.65792227
4134,Marketing And Public Relations Specialist,Public Relations Specialists,0.8428788
4135,Principal Workday Integrations Consultant,"Human Resources Assistants, Except Payroll and Timekeeping",0.47961792
4136,Lead Software Engineer,Software Developers,0.6151274
4137,Confidential Assistant,Medical Assistants,0.562755
4138,Artist Manager,Art Directors,0.662493
4139,Freelance Photographer,Photographers,0.742567
4140,Senior Aide,Personal Care Aides,0.69094396
4141,Research Staff Associate,Clinical Research Coordinators,0.61842895
4142,flight test engineer,Aerospace Engineers,0.7307513
4143,Artist Liaison,Art Directors,0.56963533
